日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,600000,10.6,10.74,10.74,10.59,483822,517574620.0,1.42,1.42,0.15,0.16
2025-04-28,600009,32.32,32.18,32.4,32.13,56597,182516800.0,0.84,-0.25,-0.08,0.29
2025-04-28,600010,1.78,1.78,1.8,1.77,2200589,391690430.0,1.68,-0.56,-0.01,0.7
2025-04-28,600011,7.22,7.26,7.3,7.13,797930,578342150.0,2.37,1.11,0.08,0.73
2025-04-28,600015,7.97,8.05,8.08,7.96,367688,295703460.0,1.5,0.88,0.07,0.24
2025-04-28,600016,3.96,3.98,4.0,3.95,1565021,623137742.0,1.27,0.76,0.03,0.44
2025-04-28,600018,5.49,5.55,5.57,5.48,422914,233986463.0,1.64,0.91,0.05,0.18
2025-04-28,600019,6.7,6.92,7.06,6.68,2268957,1576630012.0,5.72,4.22,0.28,1.04
2025-04-28,600023,5.88,5.84,5.89,5.71,963181,561462997.0,3.1,0.52,0.03,0.72
2025-04-28,600025,9.47,9.58,9.66,9.38,587007,561310484.0,2.97,1.59,0.15,0.33
2025-04-28,600026,10.36,10.57,10.67,10.32,374497,393408754.0,3.39,2.52,0.26,1.08
2025-04-28,600027,5.91,6.03,6.12,5.82,1513217,901969793.0,5.1,2.55,0.15,1.78
2025-04-28,600028,5.68,5.71,5.73,5.65,1014987,578685075.0,1.41,0.53,0.03,0.11
2025-04-28,600029,5.67,5.64,5.68,5.63,351802,198819770.0,0.88,-0.35,-0.02,0.28
2025-04-28,600030,25.2,25.13,25.21,25.0,440656,1106437411.0,0.83,-0.28,-0.07,0.36
2025-04-28,600031,19.09,19.05,19.38,19.0,290181,556163009.0,1.99,-0.21,-0.04,0.34
2025-04-28,600036,42.15,42.35,42.56,42.03,386973,1639160750.0,1.26,0.64,0.27,0.19
2025-04-28,600039,8.82,8.83,8.89,8.61,211697,186425483.0,3.16,-0.34,-0.03,0.32
2025-04-28,600048,8.61,8.31,8.65,8.28,1878450,1575758680.0,4.22,-5.14,-0.45,1.57
2025-04-28,600050,5.31,5.35,5.37,5.28,2102966,1121269195.0,1.69,0.56,0.03,0.68
2025-04-28,600061,6.86,6.83,6.86,6.79,183143,125103042.0,1.02,-0.58,-0.04,0.29
2025-04-28,600066,26.82,27.21,27.34,25.81,297798,795870420.0,5.55,-1.27,-0.35,1.35
2025-04-28,600085,36.2,36.04,36.33,36.01,43633,157611207.0,0.88,-0.74,-0.27,0.32
2025-04-28,600089,11.58,11.54,11.63,11.54,182630,211401144.0,0.78,-0.35,-0.04,0.36
2025-04-28,600104,15.64,15.49,15.67,15.46,254862,395736436.0,1.34,-1.46,-0.23,0.22
2025-04-28,600111,23.3,23.42,23.6,23.24,412422,967684111.0,1.56,1.21,0.28,1.14
2025-04-28,600115,3.72,3.7,3.73,3.68,576067,213190882.0,1.34,-0.54,-0.02,0.34
2025-04-28,600150,29.21,28.97,29.35,28.96,193534,562773527.0,1.33,-0.86,-0.25,0.43
2025-04-28,600160,25.25,25.36,25.55,25.23,197626,502435474.0,1.27,0.83,0.21,0.73
2025-04-28,600161,19.36,19.06,19.47,18.98,278299,534270369.0,2.51,-2.21,-0.43,1.41
2025-04-28,600176,11.71,11.76,11.86,11.67,209048,246226918.0,1.61,-0.08,-0.01,0.52
2025-04-28,600183,23.62,23.96,24.12,23.6,164335,393116253.0,2.19,0.84,0.2,0.69
2025-04-28,600188,12.29,12.28,12.31,12.16,211411,258372714.0,1.21,-1.21,-0.15,0.36
2025-04-28,600196,24.1,23.95,24.11,23.9,81970,196621320.0,0.87,-0.79,-0.19,0.39
2025-04-28,600219,3.65,3.67,3.73,3.61,2710985,995281026.0,3.46,5.76,0.2,2.33
2025-04-28,600233,13.14,13.09,13.21,13.08,122744,161390225.0,0.98,-1.06,-0.14,0.36
2025-04-28,600276,49.68,49.97,50.15,49.0,396210,1969933552.0,2.29,-0.6,-0.3,0.62
2025-04-28,600309,56.05,55.19,56.05,55.13,221998,1228024948.0,1.64,-1.53,-0.86,0.71
2025-04-28,600332,26.0,25.87,26.0,25.83,33139,85781769.0,0.65,-0.5,-0.13,0.24
2025-04-28,600346,15.45,15.41,15.48,15.33,56486,87096562.0,0.97,-0.45,-0.07,0.08
2025-04-28,600362,21.52,21.53,21.61,21.3,114459,245654864.0,1.44,-0.32,-0.07,0.55
2025-04-28,600372,10.93,10.91,10.97,10.86,132853,144909254.0,1.0,-0.64,-0.07,0.27
2025-04-28,600377,15.65,15.83,16.0,15.55,57490,91231747.0,2.87,1.09,0.17,0.15
2025-04-28,600406,22.88,23.1,23.18,22.88,154808,357006233.0,1.31,0.96,0.22,0.19
